yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,roadtype_name,sourcetype_name
2022,1,1,19,52,1,4,2201520419,420188,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,1,53,1,5,2201530501,413543,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,12,52,1,5,2201520512,384209,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,12,52,1,5,2201520512,379451,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,18,53,1,4,2201530418,366269,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,15,52,3,5,2203520515,359314,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,2,52,3,1,2203520102,340949,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,15,52,3,5,2203520515,309724,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,11,52,1,1,2201520111,297421,Total Gaseous Hydrocarbons,Evap Permeation,Off-Network,Single Unit Short-haul Truck
2022,7,1,18,53,1,4,2201530418,288345,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,1,53,2,4,2202530401,230080,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,1,53,3,4,2203530401,224579,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,15,61,2,4,2202610415,220229,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Combination Short-haul Truck
2022,7,1,17,62,2,1,2202620117,215196,Total Gaseous Hydrocarbons,Crankcase Extended Idle Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,15,61,2,4,2202610415,211258,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Combination Short-haul Truck
2022,7,1,1,53,3,1,2203530101,210971,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Long-haul Truck
2022,1,1,17,62,2,1,2202620117,209454,Total Gaseous Hydrocarbons,Crankcase Extended Idle Exhaust,Off-Network,Combination Long-haul Truck
2022,7,1,15,52,2,4,2202520415,206583,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,1,53,2,4,2202530401,198312,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Long-haul Truck
2022,7,1,12,53,1,1,2201530112,196156,Total Gaseous Hydrocarbons,Evap Fuel Vapor Venting,Off-Network,Single Unit Long-haul Truck
2022,7,1,1,53,2,1,2202530101,196130,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Long-haul Truck
2022,1,1,1,53,3,4,2203530401,193566,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Single Unit Long-haul Truck
2022,1,1,1,53,3,1,2203530101,181905,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Long-haul Truck
2022,7,1,19,62,2,1,2202620119,179471,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Combination Long-haul Truck
2022,1,1,15,52,2,4,2202520415,178058,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Restricted Access,Single Unit Short-haul Truck
2022,1,1,19,62,2,1,2202620119,175651,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Combination Long-haul Truck
2022,1,1,1,53,2,1,2202530101,169109,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Long-haul Truck
2022,7,1,13,52,1,4,2201520413,161173,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,11,52,1,5,2201520511,157404,Total Gaseous Hydrocarbons,Evap Permeation,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,19,52,2,1,2202520119,149582,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Off-Network,Single Unit Short-haul Truck
