Year,Make,Fuel,License State
2014,Freightliner,diesel,IN
2017,Peterbilt,diesel,MO
2005,Freightliner,diesel,IN
2016,International,diesel,IN
2017,International,diesel,IN
2016,International,diesel,IN
2012,Freightliner,diesel,MO
,Freightliner,diesel,IN
2014,Kenworth,diesel,MO
2012,Freightliner,diesel,IN
2020,Peterbilt,diesel,IN
2015,PETERBILT,diesel,IN
2017,FREIGHTLINER,diesel,IN
2014,Mack,diesel,IN
2016,FREIGHTLINER,diesel,IN
2000,Freightliner,diesel,FL
2013,Freightliner,diesel,AL
2014,Freightliner,diesel,AL
2015,Freightliner,diesel,AL
2024,Freightliner,diesel,AL
2016,Freightliner,diesel,AL
2016,Freightliner,diesel,AL
2014,Freightliner,diesel,AL
2013,FREIGHTLINER,diesel,IN
2014,FREIGHTLINER,diesel,IN
2014,VOLVO TRUCK,diesel,IN
2011,VOLVO TRUCK,diesel,IN
2012,VOLVO TRUCK,diesel,IN
2016,FREIGHTLINER,diesel,IN
2012,VOLVO TRUCK,diesel,IN
2015,FREIGHTLINER,diesel,IN
2018,FREIGHTLINER,diesel,IN
2018,FREIGHTLINER,diesel,IN
1998,Freightliner,diesel,FL
2012,Freightliner,diesel,NJ
2009,International,diesel,IN
2015,International,diesel,IN
2010,Freightliner,diesel,IN
2012,Freightliner,diesel,MD
2016,Volvo,diesel,IN
2014,Kenworth,diesel,IN
2018,International,diesel,IN
2013,International,diesel,IN
,Kenworth,diesel,IN
2017,PETERBILT,diesel,FL
2008,KENWORTH,diesel,FL
2016,KENWORTH,diesel,FL
2016,Freightliner,diesel,IN
2016,Freightliner,diesel,IN
2016,Freightliner,diesel,IN
2016,Freightliner,diesel,IN
2015,Freightliner,diesel,IN
2000,KENWORTH,diesel,MD
2015,FREIGHTLINER,diesel,MD
2012,VOLVO TRUCK,diesel,IN
2015,INTERNATIONAL,diesel,IN
2023,freightliner,diesel,IN
2013,VOLVO TRUCK,diesel,IN
2005,VOLVO TRUCK,diesel,GA
2002,FREIGHTLINER,diesel,IN
2016,PETERBILT,diesel,IN
2013,VOLVO TRUCK,diesel,IN
2014,FREIGHTLINER,diesel,IN
2007,FREIGHTLINER,diesel,IN
2013,FREIGHTLINER,diesel,IN
2006,VOLVO TRUCK,diesel,IN
2005,FREIGHTLINER,diesel,IN
2021,Kenworth,diesel,
2015,KENWORTH,diesel,IN
2012,VOLVO TRUCK,diesel,NJ
2014,VOLVO TRUCK,diesel,NJ
2019,KENWORTH,diesel,NJ
2020,KENWORTH,diesel,IN
2019,INTERNATIONAL,diesel,IN
2019,International,diesel,IN
2019,International,diesel,IN
2019,,diesel,IN
2011,Peterbilt,diesel,IN
2014,FREIGHTLINER,diesel,IN
2014,freightliner,diesel,IN
2014,freightliner,diesel,IN
2013,Freightliner,diesel,NJ
2014,Freightliner,diesel,NJ
2016,Mack,diesel,IN
2015,Freightliner,diesel,GA
,Freightliner,diesel,IN
2015,Freightliner,diesel,IN
2017,Freightliner,diesel,IN
2019,KENWORTH,diesel,NJ
2007,Freightliner,diesel,NJ
,Freightliner,diesel,IN
2015,FREIGHTLINER,diesel,IN
2019,FREIGHTLINER,diesel,NJ
2013,INTERNATIONAL,diesel,
2014,VOLVO TRUCK,diesel,IN
2016,VOLVO TRUCK,diesel,IN
2017,FREIGHTLINER,diesel,IN
,,gasoline,
,,diesel,
,,diesel,
2014,VOLVO,diesel,IN
0,,diesel,
1970,Western Star,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
2014,FREIGHTLINER,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
1970,Western Star,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
1970,Western Star,diesel,
1970,Western Star,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
1970,Western Star,diesel,
,,diesel,
2013,Freightliner,diesel,
,,diesel,
2014,Volvo,diesel,
,,diesel,
1970,Western Star,diesel,
,,diesel,
2006,Freightliner,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
0,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
1970,Western Star,diesel,
2016,Freightliner,diesel,
,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
1970,Western Star,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
,,diesel,
,,diesel,
,,diesel,
0,,diesel,
